reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
Electrochemical dechlorination of DCE on 20% Pt-C at -2.75 V vs SCE,CH2ClCH2Cl + 2e- → CH2=CH2 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (major); vinyl chloride (minor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,M,NA,NA,NA,批次,potential,NA,厌氧,Commercial 20% Pt-C catalyst for comparison,"Active Sites in Single-Atom Fe-Nx-C Nanosheets for Selective Electrochemical Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Nano
Electrochemical dechlorination of DCE on Fe-Nx-Cns-700 at -2.75 V vs SCE,CH2ClCH2Cl + 2e- → CH2=CH2 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (major); vinyl chloride (minor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,M,NA,NA,NA,批次,potential; pyrolysis temperature,NA,厌氧,Pyrolyzed at 700°C,"Active Sites in Single-Atom Fe-Nx-C Nanosheets for Selective Electrochemical Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Nano
Electrochemical dechlorination of DCE on Fe-Nx-Cns-900 at -2.75 V vs SCE,CH2ClCH2Cl + 2e- → CH2=CH2 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (major); vinyl chloride (minor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,M,NA,NA,NA,批次,potential; pyrolysis temperature,NA,厌氧,Pyrolyzed at 900°C,"Active Sites in Single-Atom Fe-Nx-C Nanosheets for Selective Electrochemical Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Nano
Electrochemical dechlorination of DCE on Fe-Cns-800 at -2.75 V vs SCE,CH2ClCH2Cl + 2e- → CH2=CH2 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (major); vinyl chloride (minor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,M,NA,NA,NA,批次,potential,NA,厌氧,Fe-Cns without N coordination; lower activity than Fe-Nx-Cns,"Active Sites in Single-Atom Fe-Nx-C Nanosheets for Selective Electrochemical Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Nano
"1,2-DCE catalytic oxidation over CeO2@TiO2","1,2-DCE + O2 → CO2 + H2O + HCl/Cl2",总反应,氧化,"1,2-dichloroethane",CO2; CO; CHCl3; CCl4; C2HCl3; C2H3Cl3,NA,2.75×10⁻¹⁰,mol g⁻¹ s⁻¹,NA,NA,NA,NA,240,°C,NA,NA,NA,NA,CeO2@TiO2,core-shell oxide,194.846,批次,温度,NA,NA,"Reaction rate measured at 240°C; byproducts include CHCl3, CCl4, C2HCl3, C2H3Cl3; catalyst shows excellent stability over 24h and water resistance","Catalytic combustion of 1,2-dichloroethane via CC/CCl bond cleavage through core-shell structured CeO2@TiO2 catalyst with excellent catalytic performances",Molecular Catalysis
"1,2-DCA biodegradation in simulated heterogeneous aquifer, days 0-11","1,2-DCA → products",总反应,氧化,"1,2-DCA",NA,NA,596,μg·L⁻¹·d⁻¹,NA,NA,NA,NA,NA,NA,6.8-7.8,initial,7.01,mg/L,sandy and silty-clayed sediments,field sediments,NA,批次,NA,NA,"厌氧 (columns A,C); 好氧 (columns E,G)","93.6% removal in 11 days; higher rates in aerobic regions (columns E,G: 335-393 μg·L⁻¹·d⁻¹) vs anaerobic (columns A,C: 311-313 μg·L⁻¹·d⁻¹)",Integrated anaerobic-aerobic biodegradation of mixed chlorinated solvents by electrolysis coupled with groundwater circulation in a simulated aquifer,Environmental Science and Pollution Research
"1,2-DCA biodegradation, overall","1,2-DCA → products",总反应,氧化,"1,2-DCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8-7.8,initial,7.01,mg/L,sandy and silty-clayed sediments,field sediments,NA,批次,NA,NA,好氧 (主要),"100% removal by day 50; aerobic hydrolytic dechlorination pathway; enrichment factors: -23.5‰ (port A4), -18.9‰ (port G4)",Integrated anaerobic-aerobic biodegradation of mixed chlorinated solvents by electrolysis coupled with groundwater circulation in a simulated aquifer,Environmental Science and Pollution Research
"1,2-dichloroethane oxidation over ZnCo2O4",C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,NA,NA,NA,NA,NA,NA,NA,375,°C,NA,NA,500,ppm,ZnCo2O4,mixed metal oxide,28.2,批次,NA,NA,NA,"T90 = 375°C; complete DCE conversion at 400°C; GHSV = 48000 mL g⁻¹ h⁻¹; Cl selectivity: 49.5% HCl, 38.8% Cl2","Bifunctional ZnCo2O4 catalyst for NOx reduction and 1,2-dichloroethane combustion",Catalysis Communications
"1,2-dichloroethane oxidation over Co3O4",C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,NA,NA,NA,NA,NA,NA,NA,400,°C,NA,NA,500,ppm,Co3O4,metal oxide,18.3,批次,NA,NA,NA,"T90 = 400°C; GHSV = 48000 mL g⁻¹ h⁻¹; Cl selectivity: 42.9% HCl, 41% Cl2","Bifunctional ZnCo2O4 catalyst for NOx reduction and 1,2-dichloroethane combustion",Catalysis Communications
"1,2-dichloroethane oxidation over ZnO",C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,NA,NA,NA,NA,NA,NA,NA,450,°C,NA,NA,500,ppm,ZnO,metal oxide,4,批次,NA,NA,NA,"T90 = 450°C; GHSV = 48000 mL g⁻¹ h⁻¹; Cl selectivity: 51.7% HCl, 13% Cl2","Bifunctional ZnCo2O4 catalyst for NOx reduction and 1,2-dichloroethane combustion",Catalysis Communications
"1,2-DCA dihaloelimination by Dehalococcoides-containing culture","1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-dichloroethane","ethene (major); vinyl chloride (<6%, transient)",1,NA,NA,~9,d,NA,NA,NA,NA,NA,NA,~25,mg/L,NA,NA,NA,批次,NA,NA,厌氧,Dehalococcoides enrichment culture; 4.6×10⁷ gene copies per µmol Cl- released; AKIE_concerted¹³C = 1.0341±0.0004,"Distinct Dual C-C1 Isotope Fractionation Patterns during Anaerobic Biodegradation of 1,2-Dichloroethane: Potential To Characterize Microbial Degradation in the Field",Environ. Sci. Technol.
"1,2-DCA dihaloelimination by Dehalogenimonas-containing culture","1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-dichloroethane",ethene (only product detected),1,NA,NA,~40,d,NA,NA,NA,NA,NA,NA,~9.5,mg/L,NA,NA,NA,批次,NA,NA,厌氧,Dehalogenimonas enrichment culture; no VC detected; AKIE_concerted¹³C = 1.024±0.003,"Distinct Dual C-C1 Isotope Fractionation Patterns during Anaerobic Biodegradation of 1,2-Dichloroethane: Potential To Characterize Microbial Degradation in the Field",Environ. Sci. Technol.
"Field site A - 1,2-DCA biodegradation under reducing conditions",NA,总反应,还原,"1,2-dichloroethane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2410 to 0.03,mg/L,NA,NA,NA,野外,NA,NA,厌氧,Industrial site; Pleistocene-Holocene alluvial deposits; unconfined aquifer 25-30 m thick,"Distinct Dual C-C1 Isotope Fractionation Patterns during Anaerobic Biodegradation of 1,2-Dichloroethane: Potential To Characterize Microbial Degradation in the Field",Environ. Sci. Technol.
"Field site B - 1,2-DCA biodegradation under reducing conditions",NA,总反应,还原,"1,2-dichloroethane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810 to 0.004,mg/L,NA,NA,NA,野外,NA,NA,厌氧,Industrial site; silty clay layer (8-12 m) with silty sand intercalation (up to 3 m),"Distinct Dual C-C1 Isotope Fractionation Patterns during Anaerobic Biodegradation of 1,2-Dichloroethane: Potential To Characterize Microbial Degradation in the Field",Environ. Sci. Technol.
"1,2-DCE oxidation over H-ZSM-5","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,8.67,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,411,°C,NA,NA,500,ppm,H-ZSM-5,zeolite,296.4,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCE oxidation over LaSrMnCoO6","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,3.23,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,509,°C,NA,NA,500,ppm,LaSrMnCoO6,double-perovskite,11,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCE oxidation over 0.1LSMC/Z","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,11.82,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,337,°C,NA,NA,500,ppm,10wt%LaSrMnCoO6/H-ZSM-5,composite,96.3,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹; highest activity,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCE oxidation over 0.2LSMC/Z","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,11.37,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,358,°C,NA,NA,500,ppm,20wt%LaSrMnCoO6/H-ZSM-5,composite,100.3,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCE oxidation over 0.3LSMC/Z","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,10.96,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,370,°C,NA,NA,500,ppm,30wt%LaSrMnCoO6/H-ZSM-5,composite,52.9,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCE oxidation over 0.5LSMC/Z","1,2-DCE + O2 → CO2 + CO + HCl + Cl2",总反应,还原,"1,2-dichloroethane",CO2; CO; HCl; Cl2,1,9.97,mmol·g⁻¹·s⁻¹,NA,NA,NA,NA,386,°C,NA,NA,500,ppm,50wt%LaSrMnCoO6/H-ZSM-5,composite,35.9,批次,temperature,NA,好氧,T90 temperature; GHSV=48000 mL·g⁻¹·h⁻¹,"Catalytic removal of 1,2-dichloroethane over LaSrMnCoO6/H-ZSM-5 composite: insights into synergistic effect and pollutant-destruction mechanism",Catal. Sci. Technol.
"1,2-DCA dechlorination by Desulfitobacterium sp. strain AusDCA at pH 7.0","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,107.1,μM/day,NA,NA,NA,NA,NA,NA,7,buffered,0.45,mM,NA,NA,NA,批次,pH,NA,厌氧,Growth yield 1.3±0.08×10^5 cells/μM DCA; doubling time 0.91±0.08 days,"Microbial Cooperative Molecular Strategies Enabling 1,2-Dichloroethane Detoxification in Low pH Aquifers",Environ. Sci. Technol.
"1,2-DCA dechlorination by Desulfitobacterium sp. strain AusDCA at pH 7.5","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,27.2,μM/day,NA,NA,NA,NA,NA,NA,7.5,buffered,0.45,mM,NA,NA,NA,批次,pH,NA,厌氧,NA,"Microbial Cooperative Molecular Strategies Enabling 1,2-Dichloroethane Detoxification in Low pH Aquifers",Environ. Sci. Technol.
"1,2-DCA dechlorination by Desulfitobacterium sp. strain AusDCA at pH 6.5","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,27.3,μM/day,NA,NA,NA,NA,NA,NA,6.5,buffered,0.45,mM,NA,NA,NA,批次,pH,NA,厌氧,NA,"Microbial Cooperative Molecular Strategies Enabling 1,2-Dichloroethane Detoxification in Low pH Aquifers",Environ. Sci. Technol.
"1,2-DCA dechlorination by Desulfitobacterium sp. strain AusDCA at pH 5.5","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,14.3,μM/day,NA,NA,NA,NA,NA,NA,5.5,buffered,0.45,mM,NA,NA,NA,批次,pH,NA,厌氧,Growth yield 3.5±0.3×10^4 cells/μM DCA; doubling time 9.24±0.48 days,"Microbial Cooperative Molecular Strategies Enabling 1,2-Dichloroethane Detoxification in Low pH Aquifers",Environ. Sci. Technol.
"1,2-DCA dechlorination by Desulfitobacterium sp. strain AusDCA at pH 5.0","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,14,μM/day,NA,NA,NA,NA,NA,NA,5,buffered,0.45,mM,NA,NA,NA,批次,pH,NA,厌氧,Dechlorination activity still observed but significantly reduced,"Microbial Cooperative Molecular Strategies Enabling 1,2-Dichloroethane Detoxification in Low pH Aquifers",Environ. Sci. Technol.
"1,2-DCA dechlorination by 7th transfer enrichment, 0.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene (stoichiometric),NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,0.7,mM,NA,NA,NA,批次,NA,NA,厌氧,"7th transfer enrichment; 56.3 μmol 1,2-DCA added","Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,2-DCA dechlorination by 19th transfer enrichment, 0.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene (stoichiometric),NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,0.89,mM,NA,NA,NA,批次,NA,NA,厌氧,"19th transfer enrichment; 71.5 μmol 1,2-DCA added; enhanced activity","Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,2-DCA dechlorination at 1.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,1.17,mM,NA,NA,NA,批次,salinity,NA,厌氧,"21st transfer; 93.7 μmol 1,2-DCA added; salinity 1.1% NaCl","Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,2-DCA dechlorination at 2.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,1.17,mM,NA,NA,NA,批次,salinity,NA,厌氧,"21st transfer; 93.7 μmol 1,2-DCA added; salinity 2.1% NaCl","Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,2-DCA dechlorination at 5.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene (partial),NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,1.17,mM,NA,NA,NA,批次,salinity,NA,厌氧,"21st transfer; 93.7 μmol 1,2-DCA added; salinity 5.1% NaCl; Dehalogenimonas growth yield 1.4±0.2×10^7 copies/μmol Cl-","Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,2-DCA dechlorination at 10.1% NaCl","1,2-DCA → ethene",总反应,还原,"1,2-DCA",no product,NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,1.17,mM,NA,NA,NA,批次,salinity,NA,厌氧,21st transfer; salinity 10.1% NaCl; no activity,"Dehalogenimonas Strain W from Estuarine Sediments Dechlorinates 1,2-Dichloroethane under Elevated Salinity",Environ. Sci. Technol.
"1,1-DCA enzyme kinetics (cell-free)",C2H4Cl2 → products,total reaction,还原,"1,1-DCA",products,NA,13,nmol·min⁻¹·mg protein⁻¹,NA,NA,NA,NA,30,°C,NA,NA,NA,NA,NA,NA,NA,批次,substrate concentration,NA,厌氧,Vmax; Km=873±268 μM; incomplete dechlorination,Isolation and characterization of Dehalobacter sp. strain UNSWDHB capable of chloroform and chlorinated ethane respiration,Environmental Microbiology
DCE electroreduction over CoPc/CNT at -0.54 V vs RHE,C2H4Cl2 + 2H+ + 2e- → C2H4 + 2HCl,总反应,还原,"1,2-dichloroethane",ethylene (FE ~100%),NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,buffered,87,mM,CNT,carbon nanotubes,NA,批次,电位,NA,NA,"Current density: 32 mA/cm², FE ~100% at -0.54 V vs RHE","Peripheral environmental effect for the electrochemical reduction of 1,2-dichloroethane over a single Co-N4 site",ChemComm
DCE electroreduction over CoPc/CNT at -0.73 V vs RHE,C2H4Cl2 + 2H+ + 2e- → C2H4 + 2HCl,总反应,还原,"1,2-dichloroethane",ethylene (FE ~95%),NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,buffered,87,mM,CNT,carbon nanotubes,NA,批次,电位,NA,NA,"Current density: 34 mA/cm², FE ~95% at -0.73 V vs RHE","Peripheral environmental effect for the electrochemical reduction of 1,2-dichloroethane over a single Co-N4 site",ChemComm
DCE electroreduction over CoPor/CNT at -0.63 V vs RHE,C2H4Cl2 + 2H+ + 2e- → C2H4 + 2HCl,总反应,还原,"1,2-dichloroethane",ethylene (FE 85%),NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,buffered,87,mM,CNT,carbon nanotubes,NA,批次,电位,NA,NA,"Current density: 5.02 mA/cm², FE 85% at -0.63 V vs RHE","Peripheral environmental effect for the electrochemical reduction of 1,2-dichloroethane over a single Co-N4 site",ChemComm
DCE electroreduction over CoCyc/CNT at -0.53 V vs RHE,C2H4Cl2 + 2H+ + 2e- → C2H4 + 2HCl,总反应,还原,"1,2-dichloroethane",ethylene (FE 45%),NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,buffered,87,mM,CNT,carbon nanotubes,NA,批次,电位,NA,NA,"Current density: 0.57 mA/cm², FE 45% at -0.53 V vs RHE","Peripheral environmental effect for the electrochemical reduction of 1,2-dichloroethane over a single Co-N4 site",ChemComm
DCE electrocatalytic dechlorination on OHPCA at -2.75 V vs SCE,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane","ethylene (52% FE, ~100% selectivity); chloroethylene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,批次,potential,NA,NA,Current density 19.30 mA/cm²; FEethylene 52%; ethylene selectivity ~100%,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
DCE electrocatalytic dechlorination on HPCA at -2.75 V vs SCE,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane",ethylene (40% FE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,批次,potential,NA,NA,FEethylene 40%,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
DCE electrocatalytic dechlorination on OPCA at -2.75 V vs SCE,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane",ethylene (26% FE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,批次,potential,NA,NA,FEethylene 26%,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
DCE electrocatalytic dechlorination on DCA at -2.75 V vs SCE,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane",ethylene (11% FE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,批次,potential,NA,NA,FEethylene 11%,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
DCE electrocatalytic dechlorination on OHPCA at -1.95 V vs SCE,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane",ethylene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,批次,potential,NA,NA,Lower production rate and selectivity than at -2.75 V,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
DCE electrocatalytic dechlorination stability test on OHPCA,"1,2-dichloroethane → ethylene + 2Cl- + 2H+",总反应,还原,"1,2-dichloroethane",ethylene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,批次,Cl- concentration,NA,NA,Stable FEethylene and production rate over 5 cycles and 24h; Cl- promotes ethylene production,"Freestanding 3D Ordered Hierarchical Porous Carbon Aerogel Cathodes for Efficient Electrocatalytic Dechlorination of 1,2-Dichloroethane to Ethylene",ACS Sustainable Chem. Eng.
"1,2-DCA dechlorination with AQDS-functionalized cathode at -300 mV vs SHE","1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-DCA","ethene (>98%), vinyl chloride (<2%)",NA,13.1,meq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.12,mmol/L,NA,graphite electrode (AQDS-functionalized),NA,批次,cathode potential,NA,厌氧,"Bioelectrochemical system, AQDS immobilized on Fumasep anion exchange membrane, inoculum from 1,2-DCA dechlorinating enrichment culture","Bioelectrochemical Dechlorination of 1,2-DCAwith an AQDS-Functionalized Cathode Serving as Electron Donor",Fuel Cells
"1,2-DCA dechlorination with AQDS-functionalized cathode at OCP","1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-DCA","ethene (>98%), vinyl chloride (<2%)",NA,6.3,meq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.12,mmol/L,NA,graphite electrode (AQDS-functionalized),NA,批次,cathode potential,NA,厌氧,Open circuit potential (OCP) control experiment,"Bioelectrochemical Dechlorination of 1,2-DCAwith an AQDS-Functionalized Cathode Serving as Electron Donor",Fuel Cells
"1,2-DCA dechlorination with AQDS free-functionalized cathode at -300 mV vs SHE","1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-DCA","ethene (>98%), vinyl chloride (<2%)",NA,7.4,meq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.12,mmol/L,NA,graphite electrode (AQDS-free),NA,批次,cathode potential,NA,厌氧,Control with AQDS-free functionalized electrode,"Bioelectrochemical Dechlorination of 1,2-DCAwith an AQDS-Functionalized Cathode Serving as Electron Donor",Fuel Cells
"Wild-type enzyme with 1,2-dichloroethane",DCE + Asp124 → ester intermediate + Cl-,第1步,还原,"1,2-dichloroethane",ester intermediate + Cl-,NA,NA,NA,NA,NA,21,kcal/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,NA,Ea from MOPAC/DRIVER; ΔH=-12.00 kcal/mol; Vmax=5.30 mmol/min/mg,A molecular modeling study of the catalytic mechanism of haloalkane dehalogenase .1. Quantum chemical study of the first reaction step,J. Chem. Inf. Comput. Sci.
"Trp125→Gln mutant with 1,2-dichloroethane",DCE + Asp124 → ester intermediate + Cl-,第1步,还原,"1,2-dichloroethane",ester intermediate + Cl-,NA,NA,NA,NA,NA,26,kcal/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,突变位点,NA,NA,Ea from calculation; ΔH=-4.00 kcal/mol; Vmax=0.15 mmol/min/mg,A molecular modeling study of the catalytic mechanism of haloalkane dehalogenase .1. Quantum chemical study of the first reaction step,J. Chem. Inf. Comput. Sci.
"Trp125→Phe mutant with 1,2-dichloroethane",DCE + Asp124 → ester intermediate + Cl-,第1步,还原,"1,2-dichloroethane",ester intermediate + Cl-,NA,NA,NA,NA,NA,27,kcal/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,突变位点,NA,NA,Ea from calculation; ΔH=-5.00 kcal/mol; Vmax=1.80 mmol/min/mg,A molecular modeling study of the catalytic mechanism of haloalkane dehalogenase .1. Quantum chemical study of the first reaction step,J. Chem. Inf. Comput. Sci.
"Trp175→Gln mutant with 1,2-dichloroethane",DCE + Asp124 → ester intermediate + Cl-,第1步,还原,"1,2-dichloroethane",ester intermediate + Cl-,NA,NA,NA,NA,NA,31,kcal/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,突变位点,NA,NA,Ea from calculation; ΔH=-4.00 kcal/mol,A molecular modeling study of the catalytic mechanism of haloalkane dehalogenase .1. Quantum chemical study of the first reaction step,J. Chem. Inf. Comput. Sci.
"Trp175→Phe mutant with 1,2-dichloroethane",DCE + Asp124 → ester intermediate + Cl-,第1步,还原,"1,2-dichloroethane",ester intermediate + Cl-,NA,NA,NA,NA,NA,28,kcal/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,突变位点,NA,NA,Ea from calculation; ΔH=-4.00 kcal/mol; UT26 strain model,A molecular modeling study of the catalytic mechanism of haloalkane dehalogenase .1. Quantum chemical study of the first reaction step,J. Chem. Inf. Comput. Sci.
"1,2-dichloroethane dechlorination over Pt/SiO2 reduced at 220°C, steady state",CH2ClCH2Cl + H2 → C2H6 + C2H5Cl + HCl,总反应,还原,CH2ClCH2Cl,"C2H6 (82%), C2H5Cl (18%)",NA,23,10^4 s^-1,NA,NA,NA,NA,200,°C,NA,NA,7300,ppm,Pt/SiO2,NA,300,批次,NA,NA,NA,"Conversion 1.4%, TOS for SS 85 h","Hydrogen-assisted 1,2-dichloroethane dechlorination catalyzed by Pt-Sn/SiO2:: Effect of the Pt/Sn atomic ratio",Journal of Catalysis
