reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CCl4 solubilized in Triton X-100 degradation,CCl4 + 4H+ + 3Fe-Ni → products + Cl-,total reaction,还原,CCl4,CHCl3 (1270 mg/L); CH2Cl2 (447 mg/L); PCE (483 mg/L),1.73,0.0011,h⁻¹,NA,NA,NA,NA,room temperature,°C,NA,NA,8676,mg/L,bimetallic particles,NA,NA,批次,surfactant type,1.73,厌氧,99% degradation in 33 h; byproducts detected,,Ind. Eng. Chem. Res.
CCl4 solubilized in UH-biosurfactant degradation,CCl4 + 4H+ + 3Fe-Ni → products + Cl-,total reaction,还原,CCl4,CHCl3 (107 mg/L); CH2Cl2 (287 mg/L); PCE (7 mg/L),1.8,0.00074,h⁻¹,NA,NA,NA,NA,room temperature,°C,NA,NA,523,mg/L,bimetallic particles,NA,NA,批次,surfactant type,1.8,厌氧,Complete degradation in 2.7 h; byproducts detected,,Ind. Eng. Chem. Res.
CCl4 solubilized in SDS degradation,CCl4 + 4H+ + 3Fe-Ni → products + Cl-,total reaction,还原,CCl4,CHCl3 (4 mg/L); CH2Cl2 (702 mg/L); PCE (188 mg/L),1.86,0.00157,h⁻¹,NA,NA,NA,NA,room temperature,°C,NA,NA,5283,mg/L,bimetallic particles,NA,NA,批次,surfactant type,1.86,厌氧,99% degradation in 57.5 h; byproducts detected,,Ind. Eng. Chem. Res.
CCl4 solubilized in Rhaminolipid degradation,CCl4 + 4H+ + 3Fe-Ni → products + Cl-,total reaction,还原,CCl4,CHCl3 (136 mg/L); CH2Cl2 (995 mg/L); PCE (264 mg/L),2.52,0.00083,h⁻¹,NA,NA,NA,NA,room temperature,°C,NA,NA,6812,mg/L,bimetallic particles,NA,NA,批次,surfactant type,2.52,厌氧,99% degradation in 13.5 h; byproducts detected,,Ind. Eng. Chem. Res.
CT degradation in H2O2/Fe(II)/FA process,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,3.17,initial,0.13,mM,NA,NA,NA,批次,oxidant type,NA,NA,12.5% CT removal in 15 min; CO2•− is main radical,"Comparative studies of H2O2/Fe(II)/formic acid, sodium percarbonate/Fe(II)/formic acid and calcium peroxide/Fe(II)/formic acid processes for degradation performance of carbon tetrachloride",Chemical Engineering Journal
CT degradation in SPC/Fe(II)/FA process,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,3.1,initial,0.13,mM,NA,NA,NA,批次,oxidant type,NA,NA,42.5% CT removal in 15 min; CO2•− is main radical,,Chemical Engineering Journal
CT degradation in CP/Fe(II)/FA process,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,3.17,initial,0.13,mM,NA,NA,NA,批次,oxidant type,NA,NA,88.9% CT removal in 15 min; 49.6% Cl− released; CO2•− is main radical,,Chemical Engineering Journal
CT degradation in CP/Fe(II)/FA process - complete mineralization,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原+氧化,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,2.78,initial,0.13,mM,NA,NA,NA,批次,reagent dosage,NA,NA,99.9% CT removal; 84.1% Cl− released; complete mineralization,,Chemical Engineering Journal
CT degradation in SPC/Fe(II)/FA process - complete mineralization,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原+氧化,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,2.58,initial,0.13,mM,NA,NA,NA,批次,reagent dosage,NA,NA,99.9% CT removal; 87.6% Cl− released; complete mineralization,,Chemical Engineering Journal
CT degradation in actual groundwater - SPC system,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原+氧化,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,3.22,initial,0.13,mM,NA,NA,NA,批次,water matrix,NA,NA,98.4% CT removal in actual groundwater; pH 6.35 initial,,Chemical Engineering Journal
CT degradation in actual groundwater - CP system,CCl4 + CO2•− → •CCl3 + CO2 + Cl−,Total reaction,还原+氧化,CCl4,CF; DCM; CO2; Cl−,1,NA,NA,NA,NA,NA,NA,20,°C,3.27,initial,0.13,mM,NA,NA,NA,批次,water matrix,NA,NA,99.9% CT removal in actual groundwater; pH 6.35 initial,,Chemical Engineering Journal
CT degradation in PS/Fe(II)/CA system with TW-80,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0858,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,NA,NA,好氧,Molar ratio PS/Fe(II)/CA/CT = 12/6/6/1; 70.6% dechlorination,Reductive carbon tetrachloride degradation by surfactant derived radicals in persulfate activation system,Separation and Purification Technology
CT degradation in PS/Fe(II)/nZVI system with TW-80,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0682,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,NA,NA,好氧,Molar ratio PS/Fe(II)/nZVI/CT = 8/4/2/1; 71.8% dechlorination,,Separation and Purification Technology
CT degradation with 0.1 g/L TW-80 in PS/Fe(II)/CA,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0096,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,26.2% CT removal,,Separation and Purification Technology
CT degradation with 0.5 g/L TW-80 in PS/Fe(II)/CA,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0551,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,80.5% CT removal,,Separation and Purification Technology
CT degradation with 3.0 g/L TW-80 in PS/Fe(II)/CA,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.1144,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,97.7% CT removal,,Separation and Purification Technology
CT degradation with 5.0 g/L TW-80 in PS/Fe(II)/CA,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0894,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,96.5% CT removal,,Separation and Purification Technology
CT degradation with 10.0 g/L TW-80 in PS/Fe(II)/CA,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0533,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,92.1% CT removal,,Separation and Purification Technology
CT degradation with 0.1 g/L TW-80 in PS/Fe(II)/nZVI,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0049,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,14.8% CT removal,,Separation and Purification Technology
CT degradation with 0.5 g/L TW-80 in PS/Fe(II)/nZVI,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0352,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,63.4% CT removal,,Separation and Purification Technology
CT degradation with 3.0 g/L TW-80 in PS/Fe(II)/nZVI,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0806,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,92.8% CT removal,,Separation and Purification Technology
CT degradation with 5.0 g/L TW-80 in PS/Fe(II)/nZVI,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0742,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,92.2% CT removal,,Separation and Purification Technology
CT degradation with 10.0 g/L TW-80 in PS/Fe(II)/nZVI,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, intermediates",1,0.0709,min⁻¹,NA,NA,NA,NA,NA,NA,NA,initial,0.15,mM,NA,NA,NA,批次,TW-80浓度,NA,好氧,91.5% CT removal,,Separation and Purification Technology
CT biodegradation with P. stutzeri KC in column with weekly acetate injection,CT + e- → products,总反应,还原+生物降解,Carbon tetrachloride (CT),NA,1,0.121,L/mg-day,NA,NA,NA,NA,NA,NA,NA,NA,C0 (initial CT concentration),NA,aquifer sediment,NA,NA,批次,retardation/sorption,NA,厌氧,Second-order rate constant k0; Dak=0.74; with mobile and immobile microbes,Reduction of polyhalogenated methanes by surface-bound Fe(II) in aqueous suspensions of iron oxides,Water Resources Research
CT biodegradation without solid-phase reactions,CT + e- → products,总反应,还原+生物降解,Carbon tetrachloride (CT),NA,1,0.189,L/mg-day,NA,NA,NA,NA,NA,NA,NA,NA,C0,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,From Phanikumar et al. 2002a; aqueous-phase only,,Water Resources Research
Microbial decay rate,NA,NA,生物降解,Pseudomonas stutzeri KC,NA,1,0.136,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Decay rate bKC; Dab=0.10,,Water Resources Research
Nitrate utilization coefficient,NA,NA,生物降解,Nitrate,NA,1,18.89,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,Cn0,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Parameter g; Dag=13.85,,Water Resources Research
Microbial detachment rate,NA,NA,生物降解,Pseudomonas stutzeri KC (immobile),Pseudomonas stutzeri KC (mobile),1,0.048,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Detachment rate Kdet; Dadet=0.03,,Water Resources Research
First-order kinetic sorption/desorption rate,NA,NA,吸附/解吸,CT,NA,1,0.36,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,C0,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Two-site nonequilibrium model parameter k; DaS=0.246,,Water Resources Research
"CT degradation in aqueous solution at optimal conditions (pH 10, leaf dose 10 g/L, Fe2+ 15 mM)","CCl4 + e- → CHCl3 + Cl- (sequential to CH2Cl2, CH3Cl, CH4)",总反应,还原,CCl4,"CHCl3, CH2Cl2, CH3Cl, Cl-",NA,NA,NA,<24,h,NA,NA,20,°C,10,buffered,50,mg/L,NA,NA,NA,批次,pH/铁剂量/叶提取物剂量,3,厌氧,"99% removal at 24h; byproducts: CHCl3 (0.33 mg/L peak at 24h), CH2Cl2 (0.09 mg/L at 24h), CH3Cl (0.18 mg/L at 24h); Cl- reached 45.53 mg/L at 168h",Reductive degradation of carbon tetrachloride using tree leaf polyphenol-iron complexes for groundwater remediation,RSC Adv.
CT degradation in field groundwater at optimal conditions,CCl4 + e- → products + Cl-,总反应,还原,CCl4,Cl-,NA,NA,NA,<24,h,NA,NA,20,°C,10,buffered,50,mg/L,NA,NA,NA,批次,pH/铁剂量/叶提取物剂量/地下水组成,4,厌氧,"89% removal at 24h; Cl- increased to 57.86 mg/L (background 14.33 mg/L); groundwater pH 6.79, alkalinity 135 mg CaCO3/L",,RSC Adv.
"CT degradation at pH 7 (unbuﬀered), leaf 10 g/L, Fe2+ 1 mM",CCl4 + e- → products,总反应,还原,CCl4,NA,NA,NA,NA,24,h,NA,NA,20,°C,7,initial,50,mg/L,NA,NA,NA,批次,pH/铁剂量/叶提取物剂量,3,厌氧,pH dropped to ~3 after 30 min; positive ORP; lower removal efficiency compared to alkaline conditions,,RSC Adv.
"CT degradation at pH 9 (buﬀered), leaf 10 g/L, Fe2+ 10 mM",CCl4 + e- → products,总反应,还原,CCl4,NA,NA,NA,NA,24,h,NA,NA,20,°C,9,buffered,50,mg/L,NA,NA,NA,批次,pH/铁剂量/叶提取物剂量,3,厌氧,Negative ORP; higher removal than pH 7,,RSC Adv.
"CT degradation at pH 10 (buﬀered), leaf 10 g/L, Fe2+ 15 mM",CCl4 + e- → products,总反应,还原,CCl4,NA,NA,NA,NA,24,h,NA,NA,20,°C,10,buffered,50,mg/L,NA,NA,NA,批次,pH/铁剂量/叶提取物剂量,3,厌氧,Highly reducing environment; highest removal efficiency among all conditions tested,,RSC Adv.
CT reduction by bare nZVI in DIW,CT + Fe0 → products,NA,还原,CT (carbon tetrachloride),NA,2,8.04E-02,L·m⁻²·h⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,2,mg/L,nanoscale zero-valent iron,25-30,m²/g,批次,NA,NA,NA,4-h removal 62.7±2.9%,Removal of chlorinated organic solvents from hydraulic fracturing wastewater by bare and entrapped nanoscale zero-valent iron,Chemosphere
CT reduction by bare nZVI in Day-1 FWW,CT + Fe0 → products,NA,还原,CT,NA,2,1.39E-01,L·m⁻²·h⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,2,mg/L,nanoscale zero-valent iron,25-30,m²/g,批次,ionic strength,NA,NA,4-h removal 53.5±6.3%; Fe dissolution 1.31±1.19%,,Chemosphere
CT reduction by bare nZVI in Day-14 FWW,CT + Fe0 → products,NA,还原,CT,NA,2,5.75E-02,L·m⁻²·h⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,2,mg/L,nanoscale zero-valent iron,25-30,m²/g,批次,ionic strength,NA,NA,4-h removal 50.4±4.6%; Fe dissolution 3.82±0.13%,,Chemosphere
CT reduction by bare nZVI in Day-90 FWW,CT + Fe0 → products,NA,还原,CT,NA,2,3.71E-02,L·m⁻²·h⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,2,mg/L,nanoscale zero-valent iron,25-30,m²/g,批次,ionic strength,NA,NA,4-h removal 38.7±1.4%; Fe dissolution 5.79±0.32%,,Chemosphere
CT reduction by alginate entrapped nZVI in Day-90 FWW,CT + Fe0 → products,NA,还原,CT,NA,2,2.36E-01,L·m⁻²·h⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,2,mg/L,nanoscale zero-valent iron,25-30,m²/g,批次,NA,NA,NA,4-h removal comparable to bare nZVI; 47 beads used,,Chemosphere
CCl4 reduction by vivianite at pH 7,CCl4 → HCCl3 + formate + CO,总反应,还原,CCl4,HCCl3 (51%); formate (16%); CO (trace); methane (trace),1,0.0651,d⁻¹,NA,NA,NA,NA,26,°C,7,buffered,0.1,mM,ferrous phosphate (FeII₃(PO₄)₂·8H₂O),NA,NA,批次,pH,NA,厌氧,90.3% CCl4 removal in 40 d; 97.6% Cl mass balance,Theoretical and Experimental Studies of the Dechlorination Mechanism of Carbon Tetrachloride on a Vivianite Ferrous Phosphate Surface,J. Phys. Chem. A
CCl4 reduction by vivianite at pH 3,CCl4 → products,总反应,还原,CCl4,NA,1,0.0116,d⁻¹,NA,NA,NA,NA,26,°C,3,buffered,0.1,mM,ferrous phosphate (FeII₃(PO₄)₂·8H₂O),NA,NA,批次,pH,NA,厌氧,pH effect study,,J. Phys. Chem. A
CCl4 reduction by vivianite at pH 5,CCl4 → products,总反应,还原,CCl4,NA,1,0.0406,d⁻¹,NA,NA,NA,NA,26,°C,5,buffered,0.1,mM,ferrous phosphate (FeII₃(PO₄)₂·8H₂O),NA,NA,批次,pH,NA,厌氧,pH effect study,,J. Phys. Chem. A
CCl4 reduction by vivianite at pH 9,CCl4 → products,总反应,还原,CCl4,NA,1,0.0693,d⁻¹,NA,NA,NA,NA,26,°C,9,buffered,0.1,mM,ferrous phosphate (FeII₃(PO₄)₂·8H₂O),NA,NA,批次,pH,NA,厌氧,pH effect study,,J. Phys. Chem. A
CCl4 reduction by vivianite at pH 11,CCl4 → products,总反应,还原,CCl4,NA,1,0.174,d⁻¹,NA,NA,NA,NA,26,°C,11,buffered,0.1,mM,ferrous phosphate (FeII₃(PO₄)₂·8H₂O),NA,NA,批次,pH,NA,厌氧,pH effect study; highest rate constant,,J. Phys. Chem. A
CT reduction by GRC12(Cu),CCl4 + H2O + 2CuI → CO + 4Cl- + 2CuII + 2H+,总反应,还原,CT,CO (82.5%); formate (26.6%),1,9.94,h⁻¹,NA,NA,NA,NA,室温,NA,7.5,initial,16,μM,Green rust intercalated with dodecanoate,NA,NA,批次,Cu doping,NA,厌氧,Cu mediated reaction; dichloroelimination pathway,Copper-mediated reductive dechlorination by green rust intercalated with dodecanoate,Journal of Hazardous Materials
CT reduction by GRC12,NA,总反应,还原,CT,CO; formate,1,0.27,h⁻¹,NA,NA,NA,NA,室温,NA,7.5,initial,16,μM,Green rust intercalated with dodecanoate,NA,NA,批次,NA,NA,厌氧,NA,,Journal of Hazardous Materials
CT reduction by GRSO4,NA,总反应,还原,CT,NA,1,0.04,h⁻¹,NA,NA,NA,NA,室温,NA,7.5,initial,16,μM,Sulphate-interlayered green rust,NA,NA,批次,NA,NA,厌氧,NA,,Journal of Hazardous Materials
CF reduction by GRC12(Cu),NA,总反应,还原,CF,DCM; CM,1,0.22,h⁻¹,NA,NA,NA,NA,室温,NA,7.5,initial,29,μM,Green rust intercalated with dodecanoate,NA,NA,批次,Cu doping,NA,厌氧,Hydrogenolysis pathway; GRC12 alone cannot reduce CF,,Journal of Hazardous Materials
CT reduction by GRC12(Cu) at low CT concentration,NA,总反应,还原,CT,NA,1,NA,NA,NA,NA,NA,NA,室温,NA,7.5,initial,0.248,μM,Green rust intercalated with dodecanoate,NA,NA,批次,Cu concentration,NA,厌氧,Cu in excess of CT,,Journal of Hazardous Materials
CT reduction by GRC12(Cu) at high CT concentration,NA,总反应,还原,CT,NA,1,NA,NA,NA,NA,NA,NA,室温,NA,7.5,initial,14.5,μM,Green rust intercalated with dodecanoate,NA,NA,批次,Cu concentration,NA,厌氧,CT in excess of Cu; rate decreased after 0.7 h when CuI consumed,,Journal of Hazardous Materials
CT biotransformation in UASB reactor with glucose as primary substrate,CCl4 → products,总反应,还原,carbon tetrachloride (CT),NA,NA,2.4E-3,day⁻¹,NA,NA,NA,NA,35,°C,NA,NA,0.5-5,mg/L,NA,NA,NA,批次,NA,NA,厌氧,Maximum specific substrate utilization rate (k); Ks=1.37 mg CT/L,Performance of upflow anaerobic sludge blanket (UASB) reactor treating wastewaters containing carbon tetrachloride,World Journal of Microbiology & Biotechnology
CT biotransformation kinetics - growth yield coefficient,CCl4 → biomass + products,总反应,还原,carbon tetrachloride (CT),biomass,NA,NA,NA,NA,NA,NA,NA,35,°C,NA,NA,0.5-5,mg/L,NA,NA,NA,批次,NA,NA,厌氧,Growth yield coefficient Y=0.69 mg TSS/mg CT; decay coefficient b=0.046 day⁻¹,,World Journal of Microbiology & Biotechnology
CT removal at maximum loading rate,CCl4 → products,总反应,还原,carbon tetrachloride (CT),NA,NA,NA,NA,NA,NA,NA,NA,35,°C,NA,NA,5,mg/L,NA,NA,NA,批次,CT loading; COD loading,NA,厌氧,88% CT removal at 17.5 mg/L·day CT loading; 92% COD removal at 12.5 g/L·day; HRT=0.28 day,,World Journal of Microbiology & Biotechnology
Electrolysis at -0.05 V for 15 min in 0.5 M H2SO4 + 30 mg/L CT,CCl4 + H(ads) → dechlorinated products,总反应,还原,CCl4,dechlorinated products,NA,NA,NA,NA,NA,NA,NA,22,°C,<0.5 (acidic),initial,30,mg/L,electrocatalyst,NA,NA,批次,potential,NA,厌氧,Nanostructured Pd thin film electrode; 15 min electrolysis; removal efficiency 83.7%,Electrochemical reductive dechlorination of carbon tetrachloride on nanostructured Pd thin films,Electrochemistry Communications
Electrolysis at -0.15 V for 15 min in 0.5 M H2SO4 + 30 mg/L CT,CCl4 + H(ads) → dechlorinated products,总反应,还原,CCl4,dechlorinated products,NA,NA,NA,NA,NA,NA,NA,22,°C,<0.5 (acidic),initial,30,mg/L,electrocatalyst,NA,NA,批次,potential,NA,厌氧,15 min electrolysis; removal efficiency 19.4%,,Electrochemistry Communications
Electrolysis at -0.15 V for 30 min in 0.5 M H2SO4 + 30 mg/L CT,CCl4 + H(ads) → dechlorinated products,总反应,还原,CCl4,dechlorinated products,NA,NA,NA,NA,NA,NA,NA,22,°C,<0.5 (acidic),initial,30,mg/L,electrocatalyst,NA,NA,批次,potential,NA,厌氧,30 min electrolysis; removal efficiency 48.7%,,Electrochemistry Communications
Electrolysis at -0.20 V for 15 min in 0.5 M H2SO4 + 30 mg/L CT,CCl4 + H(ads) → dechlorinated products,总反应,还原,CCl4,dechlorinated products,NA,NA,NA,NA,NA,NA,NA,22,°C,<0.5 (acidic),initial,30,mg/L,electrocatalyst,NA,NA,批次,potential,NA,厌氧,15 min electrolysis; removal efficiency 89.3%; hydrogen evolution occurring,,Electrochemistry Communications
CCl4 reduction with tungsten blue at 150°C,CCl4 → CHCl3,总反应,还原,CCl4,CHCl3,1,2.66E-03,min⁻¹,NA,NA,122,kJ/mol,150,°C,NA,NA,NA,NA,hydrogen bronze,20.43,m²/g,批次,temperature,NA,厌氧,Pseudo first-order kinetics; complete conversion after 24h,Reductive dechlorination of chloromethanes using tungsten and molybdenum hydrogen bronzes or sodium hypophosphite,ACS Symposium Series
CHCl3 reduction with tungsten blue at 150°C,CHCl3 → products,总反应,还原,CHCl3,unidentified products,1,1.93E-03,min⁻¹,NA,NA,104,kJ/mol,150,°C,NA,NA,NA,NA,hydrogen bronze,20.43,m²/g,批次,temperature,NA,厌氧,CH2Cl2 not observed as product; no isotope effect with CDCl3,,ACS Symposium Series
CH2Cl2 reduction with tungsten blue at 150°C,CH2Cl2 → products,总反应,还原,CH2Cl2,unidentified products,1,2.93E-03,min⁻¹,NA,NA,negative,kJ/mol,150,°C,NA,NA,NA,NA,hydrogen bronze,20.43,m²/g,批次,temperature,NA,厌氧,Negative activation energy indicates adsorption-controlled kinetics,,ACS Symposium Series
CCl4 reduction with sodium hypophosphite at 100°C,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,总反应,还原,CCl4,CHCl3; CH2Cl2; CH3Cl; CH4,1,1.67E-03,min⁻¹,NA,NA,NA,NA,100,°C,NA,NA,NA,NA,NA,NA,NA,批次,temperature,NA,厌氧,"Complete destruction in 24h; after 70 min: 83.9% CCl4, 12.5% CHCl3, 3.6% CH2Cl2",,ACS Symposium Series
CCl4 reduction with sodium hypophosphite at ambient temperature,CCl4 → CHCl3,总反应,还原,CCl4,CHCl3,1,1.39E-06,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,NA,NA,NA,NA,NA,批次,temperature,NA,厌氧,Only 0.6% conversion after 48h,,ACS Symposium Series
"CCl4 reduction in cysteine solution with vitamin B12, fast initial phase",CCl4 + e- → products,第1步,还原,CCl4,CHCl3 (pH-dependent yield 0-20%); CO (3.2%); water-soluble products,0,Variable with pH,NA,NA,NA,NA,NA,22,°C,8月12日,buffered or cysteine-buffered,200-560,nM,NA,NA,NA,批次,pH,NA,厌氧,Fast phase; rate-limiting step is Co(III) reduction to Co(II); k1 proportional to [B12]; maximum rate at pH ~12,Transformation of carbon tetrachloride by reduced vitamin B-12 in aqueous cysteine solution,Environ. Sci. Technol.
"CCl4 reduction in cysteine solution with vitamin B12, slow subsequent phase",CCl4 + e- → products,第2步,还原,CCl4,CHCl3 (pH-dependent yield 0-20%); CO (3.2%); water-soluble products,1,Variable with pH,NA,NA,NA,NA,NA,22,°C,8月12日,buffered or cysteine-buffered,200-560,nM,NA,NA,NA,批次,pH,NA,厌氧,Slow phase; rate may be limited by alkylcobalamin decomposition; k2 proportional to [B12] and [CCl4]; maximum rate at pH ~12,,Environ. Sci. Technol.
CHCl3 yield from CCl4 transformation at pH 8,CCl4 → CHCl3 + other products,总反应,还原,CCl4,CHCl3 (20% yield),NA,NA,NA,NA,NA,NA,NA,22,°C,8,buffered,200-560,nM,NA,NA,NA,批次,pH,NA,厌氧,CHCl3 yield decreases with increasing pH,,Environ. Sci. Technol.
CHCl3 yield from CCl4 transformation at pH >11,CCl4 → CHCl3 + other products,总反应,还原,CCl4,CHCl3 (nearly 0% yield),NA,NA,NA,NA,NA,NA,NA,22,°C,>11,buffered,200-560,nM,NA,NA,NA,批次,pH,NA,厌氧,CHCl3 yield nearly zero at high pH,,Environ. Sci. Technol.
"CO yield from CCl4 transformation, pH-independent",CCl4 → CO + other products,总反应,还原,CCl4,CO (3.2 ± 0.3% yield),NA,NA,NA,NA,NA,NA,NA,22,°C,8.3-12.5,buffered,NA,NA,NA,NA,NA,批次,pH,NA,厌氧,CO yield constant across pH range tested,,Environ. Sci. Technol.
CT dechlorination by GRCl without Cr(VI),CCl4 + e⁻ → products,总反应,还原,CT (CCl4),CF (CHCl3),1,0.62,h⁻¹,NA,NA,NA,NA,25,°C,8.1,initial,20,μM,green rust chloride,NA,NA,批次,NA,NA,厌氧,"pristine GRCl, 3h reaction",One-time removal of Cr(VI) and carbon tetrachloride from groundwater by silicate stabilized green rust: The slow release of reactive sites driven by Fe (III)-Cr(III) oxides formation,Chemical Engineering Journal
CT dechlorination by GRCl with 2.0 mM Cr(VI),CCl4 + e⁻ → products,总反应,还原,CT (CCl4),CF (CHCl3),1,0.16,h⁻¹,NA,NA,NA,NA,25,°C,8.1,initial,20,μM,green rust chloride,NA,NA,批次,Cr(VI) concentration,NA,厌氧,GRCl with Cr(VI) addition,,Chemical Engineering Journal
CT dechlorination by GRCl-Si with 2.0 mM Cr(VI),CCl4 + e⁻ → products,总反应,还原,CT (CCl4),CF (CHCl3); 78% recovery,1,0.048,h⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,20,μM,silicate-stabilized green rust chloride,NA,NA,批次,Cr(VI) concentration,NA,厌氧,kobs from 72-131h; lag phase ~72h,,Chemical Engineering Journal
CT dechlorination by GRCl-Si with 4 mM GROX-Cr(III),CCl4 + e⁻ → products,总反应,还原,CT (CCl4),CF (CHCl3),1,NA,h⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,20,μM,silicate-stabilized green rust chloride,NA,NA,批次,GROX-Cr(III) concentration,NA,厌氧,complete CT removal in 60h; GROX-Cr(III) precipitates added,,Chemical Engineering Journal
