反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
"CCl4 degradation by 0.8 wt.% Ag/Fe, Stage II (Table 2, Figure 4)",第2步,还原,CCl4,CHCl3,0.1141,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.8 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 1.0 wt.% Ag/Fe, Stage I (Table 2, Figure 4)",第1步,还原,CCl4,CHCl3,0.0338,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 1.0 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 1.0 wt.% Ag/Fe, Stage II (Table 2, Figure 4)",第2步,还原,CCl4,CHCl3,0.1106,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 1.0 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation at 5 g/L Ag/Fe dosage, Stage I (Table 3, Figure 6)",第1步,还原,CCl4,CHCl3,0.0109,min⁻¹,0.0234,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 5 g/L Ag/Fe dosage, Stage II (Table 3, Figure 6)",第2步,还原,CCl4,CHCl3,0.0767,min⁻¹,0.1649,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 10 g/L Ag/Fe dosage, Stage I (Table 3, Figure 6)",第1步,还原,CCl4,CHCl3,0.0207,min⁻¹,0.0223,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 10 g/L Ag/Fe dosage, Stage II (Table 3, Figure 6)",第2步,还原,CCl4,CHCl3,0.0988,min⁻¹,0.1062,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 20 g/L Ag/Fe dosage, Stage I (Table 3, Figure 6)",第1步,还原,CCl4,CHCl3,0.0345,min⁻¹,0.0185,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 20 g/L Ag/Fe dosage, Stage II (Table 3, Figure 6)",第2步,还原,CCl4,CHCl3,0.1238,min⁻¹,0.0666,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 30 g/L Ag/Fe dosage, Stage I (Table 3, Figure 6)",第1步,还原,CCl4,CHCl3,0.0656,min⁻¹,0.0235,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 30 g/L Ag/Fe dosage, Stage II (Table 3, Figure 6)",第2步,还原,CCl4,CHCl3,0.1443,min⁻¹,0.0514,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 40 g/L Ag/Fe dosage, Stage I (Table 3, Figure 6)",第1步,还原,CCl4,CHCl3,0.09,min⁻¹,0.0242,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation at 40 g/L Ag/Fe dosage, Stage II (Table 3, Figure 6)",第2步,还原,CCl4,CHCl3,0.1556,min⁻¹,0.0418,L/(min·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, stirring rate 200 rpm",
"CCl4 degradation with 0 mg/L humic acid (Figure 11, Section 3.3.3)",总反应,还原,CCl4,CHCl3,0.122,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,NA,NA,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation with 5 mg/L humic acid (Figure 11, Section 3.3.3)",总反应,还原,CCl4,CHCl3,0.0585,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,NA,NA,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, Ag/Fe dosage 20 g/L, stirring rate 200 rpm, humic acid 5 mg/L",
"CCl4 degradation with 10 mg/L humic acid (Figure 11, Section 3.3.3)",总反应,还原,CCl4,CHCl3,0.0472,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,NA,NA,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, Ag/Fe dosage 20 g/L, stirring rate 200 rpm, humic acid 10 mg/L",
"CCl4 degradation with 25 mg/L humic acid (Figure 11, Section 3.3.3)",总反应,还原,CCl4,CHCl3,0.0305,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,NA,NA,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.4 wt.% Ag loading, Ag/Fe dosage 20 g/L, stirring rate 200 rpm, humic acid 25 mg/L",
"CT degradation with PS=60 mmol/L, FA=30 mmol/L (Figure 3a)",总反应,还原,CT,"Cl⁻, CO₂",0.0114,μmol·L⁻¹·min⁻¹,NA,NA,0,NA,NA,NA,NA,50,°C,2.59 (unadjusted),NA,NA,NA,NA,NA,10,μmol·L⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[PS]=60 mmol/L, [FA]=30 mmol/L",Degradation of carbon tetrachloride in thermally activated persulfate system in the presence of formic acid
"CT degradation with PS=30 mmol/L, FA=30 mmol/L (Figure 3a)",总反应,还原,CT,"Cl⁻, CO₂",0.0068,μmol·L⁻¹·min⁻¹,NA,NA,0,NA,NA,NA,NA,50,°C,2.59 (unadjusted),NA,NA,NA,NA,NA,10,μmol·L⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[PS]=30 mmol/L, [FA]=30 mmol/L",
"CT degradation with PS=20 mmol/L, FA=30 mmol/L (Figure 3a)",总反应,还原,CT,"Cl⁻, CO₂",0.0056,μmol·L⁻¹·min⁻¹,NA,NA,0,NA,NA,NA,NA,50,°C,2.59 (unadjusted),NA,NA,NA,NA,NA,10,μmol·L⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[PS]=20 mmol/L, [FA]=30 mmol/L",
"CT degradation with PS=10 mmol/L, FA=30 mmol/L (Figure 3a)",总反应,还原,CT,"Cl⁻, CO₂",0.002,μmol·L⁻¹·min⁻¹,NA,NA,0,NA,NA,NA,NA,50,°C,2.59 (unadjusted),NA,NA,NA,NA,NA,10,μmol·L⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[PS]=10 mmol/L, [FA]=30 mmol/L",
"CT degradation with PS=5 mmol/L, FA=30 mmol/L (Figure 3a)",总反应,还原,CT,"Cl⁻, CO₂",0.0008,μmol·L⁻¹·min⁻¹,NA,NA,0,NA,NA,NA,NA,50,°C,2.59 (unadjusted),NA,NA,NA,NA,NA,10,μmol·L⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[PS]=5 mmol/L, [FA]=30 mmol/L",
"CT degradation by unmodified ZVI, pseudo first-order (Table 1)",总反应,还原,Carbon tetrachloride (CT),NA,0.0079,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"220 r/min shaking, no light",Enhanced degradation of carbon tetrachloride by surfactant-modified zero-valent iron.
CT degradation by ZVI modified with 0.30 mmol/L CTAB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.012,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.90 mmol/L CTAB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0143,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 2.70 mmol/L CTAB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0129,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.20 mmol/L CPB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0125,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CPB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.60 mmol/L CPB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0182,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CPB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 1.80 mmol/L CPB (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0134,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CPB modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.06 mmol/L Tween 80 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0083,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Tween 80 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.19 mmol/L Tween 80 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0102,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Tween 80 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.56 mmol/L Tween 80 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0092,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Tween 80 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.08 mmol/L Triton-100 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0089,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Triton-100 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.25 mmol/L Triton-100 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0113,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Triton-100 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.75 mmol/L Triton-100 (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.01,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Triton-100 modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 2.70 mmol/L SDS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0072,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 8.00 mmol/L SDS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0069,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 24.00 mmol/L SDS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0085,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 0.70 mmol/L SDBS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0069,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDBS modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 2.10 mmol/L SDBS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0066,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDBS modified, 220 r/min shaking, no light",
CT degradation by ZVI modified with 6.30 mmol/L SDBS (Table 1),总反应,还原,Carbon tetrachloride (CT),NA,0.0075,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Zero-valent iron,NA,NA,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDBS modified, 220 r/min shaking, no light",
"CCl4 reduction by GRSO4 producing CHCl3 and C2Cl6, magnetite formed as solid product (Table 2, Figure 2, Figure 3)",总反应,还原,CCl4,CHCl3 + C2Cl6 + Cl- + magnetite,0.47 × 10⁻⁵ to 2.18 × 10⁻⁵,s⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8 (initial) to ~6.5 (final),NA,NA,NA,NA,NA,20.7-264,mM,green rust sulfate,FeII₄FeIII₂(OH)₁₂SO₄·3H₂O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[Fe(II)]GR,init = 4-8 mM; CCl4 in excess above aqueous solubility",Reductive dechlorination of carbon tetrachloride using iron(II) iron(III) hydroxide sulfate (green rust)
"CHCl3 reduction by GRSO4, much slower than CCl4 (Table 2, control 2)",总反应,还原,CHCl3,Cl-,0.0003 × 10⁻⁵,s⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,NA,NA,NA,124,mM,green rust sulfate,FeII₄FeIII₂(OH)₁₂SO₄·3H₂O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[Fe(II)]GR,init = 23.11 mM; CHCl3 reduction ~100 times slower than CCl4",
"CCl4 reduction below aqueous solubility, rate increases with initial CCl4 concentration (Table 2, GR19 Hg1-4)",总反应,还原,CCl4,Cl-,0.27 × 10⁻⁵ to 0.39 × 10⁻⁵,s⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,NA,NA,NA,5.18-20.73,mM,green rust sulfate,FeII₄FeIII₂(OH)₁₂SO₄·3H₂O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[Fe(II)]GR,init = 24-26 mM; CCl4 below aqueous solubility",
"CCl4 reduction below aqueous solubility (Table 2, GR19 Hg1)",总反应,还原,CCl4,CHCl3 + C2Cl6 + Cl-,0.27 × 10-5,s-1,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,green rust sulfate,NA,NA,5.18 (CCl4); 25.15 (Fe(II)GR),mM,GRSO4,FeII4FeIII2(OH)12SO4·3H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,CCl4 concentration below aqueous solubility,
"CCl4 reduction below aqueous solubility (Table 2, GR19 Hg2)",总反应,还原,CCl4,CHCl3 + C2Cl6 + Cl-,0.31 × 10-5,s-1,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,green rust sulfate,NA,NA,10.36 (CCl4); 26.21 (Fe(II)GR),mM,GRSO4,FeII4FeIII2(OH)12SO4·3H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,CCl4 concentration below aqueous solubility,
"CCl4 reduction below aqueous solubility (Table 2, GR19 Hg3)",总反应,还原,CCl4,CHCl3 + C2Cl6 + Cl-,0.28 × 10-5,s-1,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,green rust sulfate,NA,NA,15.54 (CCl4); 24.96 (Fe(II)GR),mM,GRSO4,FeII4FeIII2(OH)12SO4·3H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,CCl4 concentration below aqueous solubility,
"CCl4 reduction below aqueous solubility (Table 2, GR19 Hg4)",总反应,还原,CCl4,CHCl3 + C2Cl6 + Cl-,0.39 × 10-5,s-1,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,green rust sulfate,NA,NA,20.73 (CCl4); 24.26 (Fe(II)GR),mM,GRSO4,FeII4FeIII2(OH)12SO4·3H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,CCl4 concentration slightly above aqueous solubility,
"CHCl3 reduction by GRSO4 (Table 2, control 2)",总反应,还原,CHCl3,NA,0.0003 × 10-5,s-1,NA,NA,pseudo-first-order,NA,NA,NA,NA,room temperature,NA,~8,NA,NA,green rust sulfate,NA,NA,124 (CHCl3); 23.11 (Fe(II)GR),mM,GRSO4,FeII4FeIII2(OH)12SO4·3H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CHCl3 much less susceptible than CCl4, approximately 100 times slower",
"Baseline CCl4 dechlorination by magnetite in NaCl background electrolyte (Figure 3, Figure 4)",总反应,还原,CCl4,"CHCl3 (5.2%), CO (82%), CH4 (<1%), C2Cl4 (<0.01%)",NA,NA,7.1 × 10-5 ± 6.3 × 10-6,L m-2 h-1,拟一级,NA,NA,NA,NA,25,°C,8.9,NA,NA,铁氧化物,18.01 ± 0.04,m2/g,20,µM,磁铁矿,FeIIFeIII2O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.01 M NaCl, 25 g/L magnetite, D2O",Influence of amine buffers on carbon tetrachloride reductive dechlorination by the iron oxide magnetite
"CCl4 dechlorination by magnetite in 0.01 M TRISd buffer (Figure 3, Figure 4, Figure 5)",总反应,还原,CCl4,"CHCl3 (11%), CO (82%)",NA,NA,2.1 × 10-4 ± 6.5 × 10-6,L m-2 h-1,拟一级,NA,NA,NA,NA,25,°C,8.9,NA,NA,铁氧化物,18.01 ± 0.04,m2/g,20,µM,磁铁矿,FeIIFeIII2O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.01 M TRISd, 25 g/L magnetite, H2O",
"CCl4 dechlorination by magnetite in 0.01 M TEAd buffer (Figure 4, Figure 5)",总反应,还原,CCl4,"CHCl3 (8.8%), CO (82%)",NA,NA,8.6 × 10-5 ± 8.1 × 10-6,L m-2 h-1,拟一级,NA,NA,NA,NA,25,°C,8.9,NA,NA,铁氧化物,18.01 ± 0.04,m2/g,20,µM,磁铁矿,FeIIFeIII2O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.01 M TEAd, 25 g/L magnetite, H2O",
"CCl4 dechlorination by magnetite in 0.01 M TEEN buffer (Figure 4, Figure 5)",总反应,还原,CCl4,"CHCl3 (34%), CO (35%)",NA,NA,8.7 × 10-5 ± 4.8 × 10-6,L m-2 h-1,拟一级,NA,NA,NA,NA,25,°C,8.9,NA,NA,铁氧化物,18.01 ± 0.04,m2/g,20,µM,磁铁矿,FeIIFeIII2O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.01 M TEEN, 25 g/L magnetite, H2O",
"CT dechlorination by bare NZVI, step 1 (Eq. 6, Figure 5, Table 1)",第1步,还原,CCl₄,CHCl₃,1.9E-02,1/min,3.4E-02,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Sequential dechlorination pathway,Effect of Surfactants on Zero-Valent Iron Nanoparticles (NZVI) Reactivity
"CT dechlorination by NZVI with SO at 1× CMC (Figure 6, Figure 7a, Table 1)",第1步,还原,CCl₄,CHCl₃,4.7E-03,1/min,8.3E-03,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,SO at CMC=0.9 mM; traces of DCM,
"CT dechlorination by NZVI with SL at 1× CMC (Figure 6, Figure 7b, Table 1)",第1步,还原,CCl₄,CHCl₃,2.0E-03,1/min,3.6E-03,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,SL at CMC=13.5 mM; traces of DCM,
"CT dechlorination by NZVI with SDS at 1× CMC (Figure 6, Figure 7c, Table 1)",第1步,还原,CCl₄,CHCl₃,6.6E-02,1/min,1.2E-01,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,SDS at CMC=8 mM; substantial DCM formation,
"CT dechlorination by NZVI with SDP at 1× CMC (Figure 6, Figure 7d, Table 1)",第1步,还原,CCl₄,CHCl₃,4.9E-02,1/min,8.7E-02,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,SDP at CMC=18.5 mM; substantial DCM formation,
"CT dechlorination by bare NZVI, step 1 (Eq. 6, Figure 5, Table 1)",第1步,还原,CCl₄,CHCl₃,1.9E-02,1/min,3.4E-02,m⁻² min⁻¹,NA,NA,NA,NA,NA,25±1,°C,7→9,NA,NA,NZVI,14.1,m²/g,60,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Sequential dechlorination pathway,
"CCl4 dechlorination by 0.5 mM Fe(II) in presence of 0.5 mM Cu(II) at pH 7 (Figure 2, Figure 3)",总反应,还原,CCl4,CHCl3,0.007,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,7.0 ± 0.1,106,mV,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 0.5 mM, Cu(II) 0.5 mM, HEPES buffer 50 mM",Reductive dechlorination of carbon tetrachloride in aqueous solutions containing ferrous and copper ions
"CCl4 dechlorination by 3.0 mM Fe(II) in presence of 0.5 mM Cu(II) at pH 7 (Figure 2, Figure 3)",总反应,还原,CCl4,CHCl3,0.252,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,7.0 ± 0.1,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3.0 mM, Cu(II) 0.5 mM, HEPES buffer 50 mM",
"CCl4 dechlorination by 5.0 mM Fe(II) in presence of 0.5 mM Cu(II) at pH 7 (Figure 2, Figure 3)",总反应,还原,CCl4,CHCl3,1.754,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,7.0 ± 0.1,-257,mV,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 5.0 mM, Cu(II) 0.5 mM, HEPES buffer 50 mM",
